STT,Tinh_Thanh,Ten_Xa_Moi,Cac_Xa_Cu_Sap_Nhap,Loai_Don_Vi
105,Bắc Ninh,Phật Tích,"các xã Minh Đạo, Cảnh Hưng và Phật Tích",Xã
106,Bắc Ninh,Gia Bình,"thị trấn Gia Bình và các xã Xuân Lai, Quỳnh Phú, Đại Bái",Xã
107,Bắc Ninh,Nhân Thắng,"thị trấn Nhân Thắng, xã Thái Bảo và xã Bình Dương",Xã
108,Bắc Ninh,Đại Lai,xã Song Giang và xã Đại Lai,Xã
109,Bắc Ninh,Cao Đức,xã Vạn Ninh và xã Cao Đức,Xã
110,Bắc Ninh,Đông Cứu,"các xã Giang Sơn, Lãng Ngâm và Đông Cứu",Xã
111,Bắc Ninh,Lương Tài,"thị trấn Thứa, xã Phú Hòa và xã Tân Lãng",Xã
112,Bắc Ninh,Lâm Thao,"các xã Bình Định, Quảng Phú và Lâm Thao",Xã
113,Bắc Ninh,Trung Chính,"các xã Phú Lương, Quang Minh và Trung Chính",Xã
114,Bắc Ninh,Trung Kênh,"các xã An Thịnh, An Tập và Trung Kênh",Xã
115,Bắc Ninh,Đại Sơn,"các xã Giáo Liêm, Phúc Sơn và Đại Sơn",Xã
116,Bắc Ninh,Sơn Động,"thị trấn An Châu, xã An Bá và xã Vĩnh An",Xã
117,Bắc Ninh,Tây Yên Tử,thị trấn Tây Yên Tử và xã Thanh Luận,Xã
118,Bắc Ninh,Dương Hưu,xã Long Sơn và xã Dương Hưu,Xã
119,Bắc Ninh,Yên Định,xã Cẩm Đàn và xã Yên Định,Xã
120,Bắc Ninh,An Lạc,xã Lệ Viễn và xã An Lạc,Xã
121,Bắc Ninh,Vân Sơn,xã Hữu Sản và xã Vân Sơn,Xã
122,Bắc Ninh,Biển Động,"thị trấn Biển Động, xã Kim Sơn và xã Phú Nhuận",Xã
123,Bắc Ninh,Lục Ngạn,"thị trấn Phì Điền và các xã Giáp Sơn, Đồng Cốc, Tân Hoa, Tân Quang",Xã
124,Bắc Ninh,Đèo Gia,xã Tân Lập và xã Đèo Gia,Xã
125,Bắc Ninh,Sơn Hải,xã Hộ Đáp và xã Sơn Hải,Xã
126,Bắc Ninh,Tân Sơn,xã Cấm Sơn và xã Tân Sơn,Xã
127,Bắc Ninh,Biên Sơn,"xã Phong Vân, xã Biên Sơn và toàn bộ diện tích tự nhiên của Trường bắn TB1",Xã
128,Bắc Ninh,Sa Lý,xã Phong Minh và xã Sa Lý,Xã
129,Bắc Ninh,Nam Dương,xã Tân Mộc và xã Nam Dương,Xã
130,Bắc Ninh,Kiên Lao,xã Kiên Thành và xã Kiên Lao,Xã
131,Bắc Ninh,Lục Sơn,xã Bình Sơn và xã Lục Sơn,Xã
132,Bắc Ninh,Trường Sơn,xã Vô Tranh và xã Trường Sơn,Xã
133,Bắc Ninh,Cẩm Lý,xã Đan Hội và xã Cẩm Lý,Xã
134,Bắc Ninh,Đông Phú,xã Đông Hưng và xã Đông Phú,Xã
135,Bắc Ninh,Nghĩa Phương,"các xã Trường Giang, Huyền Sơn và Nghĩa Phương",Xã
136,Bắc Ninh,Lục Nam,"thị trấn Phương Sơn, thị trấn Đồi Ngô và các xã Cương Sơn, Tiên Nha, Chu Điện",Xã
137,Bắc Ninh,Bắc Lũng,"các xã Yên Sơn, Lan Mẫu, Khám Lạng và Bắc Lũng",Xã
138,Bắc Ninh,Bảo Đài,"các xã Bảo Sơn, Thanh Lâm, Tam Dị và Bảo Đài",Xã
139,Bắc Ninh,Lạng Giang,"thị trấn Vôi và các xã Xương Lâm, Hương Lạc, Tân Hưng",Xã
140,Bắc Ninh,Mỹ Thái,"các xã Xuân Hương, Dương Đức, Tân Thanh và Mỹ Thái",Xã
141,Bắc Ninh,Kép,"thị trấn Kép, xã Quang Thịnh và xã Hương Sơn",Xã
142,Bắc Ninh,Tân Dĩnh,"các xã Tân Dĩnh, Thái Đào và Đại Lâm",Xã
143,Bắc Ninh,Tiên Lục,"các xã Đào Mỹ, Nghĩa Hòa, An Hà, Nghĩa Hưng và Tiên Lục",Xã
144,Bắc Ninh,Yên Thế,"thị trấn Phồn Xương và các xã Đồng Lạc, Đồng Tâm, Tân Hiệp, Tân Sỏi",Xã
145,Bắc Ninh,Bố Hạ,"thị trấn Bố Hạ, xã Đông Sơn và xã Hương Vĩ",Xã
146,Bắc Ninh,Đồng Kỳ,"các xã Đồng Hưu, Đồng Vương và Đồng Kỳ",Xã
147,Bắc Ninh,Xuân Lương,"các xã Đồng Tiến (huyện Yên Thế), Canh Nậu và Xuân Lương",Xã
148,Bắc Ninh,Tam Tiến,"các xã Tiến Thắng, An Thượng và Tam Tiến",Xã
149,Bắc Ninh,Tân Yên,"thị trấn Cao Thượng và các xã Cao Xá, Việt Lập, Ngọc Lý",Xã
150,Bắc Ninh,Ngọc Thiện,"các xã Song Vân, Ngọc Châu, Ngọc Vân, Việt Ngọc và Ngọc Thiện",Xã
151,Bắc Ninh,Nhã Nam,"thị trấn Nhã Nam và các xã Tân Trung, Liên Sơn, An Dương",Xã
152,Bắc Ninh,Phúc Hoà,"các xã Hợp Đức, Liên Chung và Phúc Hòa",Xã
153,Bắc Ninh,Quang Trung,xã Lam Sơn và xã Quang Trung,Xã
154,Bắc Ninh,Hợp Thịnh,"các xã Thường Thắng, Mai Trung, Hùng Thái, Sơn Thịnh và Hợp Thịnh",Xã
155,Bắc Ninh,Hiệp Hòa,"thị trấn Thắng và các xã Đông Lỗ, Đoan Bái, Danh Thắng, Lương Phong",Xã
156,Bắc Ninh,Hoàng Vân,"các xã Đồng Tiến (huyện Hiệp Hòa), Toàn Thắng, Ngọc Sơn và Hoàng Vân",Xã
