STT,Tinh_Thanh,Ten_Xa_Moi,Cac_Xa_Cu_Sap_Nhap,Loai_Don_Vi
1538,Lạng Sơn,Kháng Chiến,"các xã Trung Thành, Tân Minh và Kháng Chiến",Xã
1539,Lạng Sơn,Quốc Việt,xã Đào Viên và xã Quốc Việt,Xã
1540,Lạng Sơn,Bình Gia,,Xã
1541,Lạng Sơn,Tân Văn,"các xã Hồng Thái (huyện Bình Gia), Bình La và Tân Văn",Xã
1542,Lạng Sơn,Hồng Phong,xã Hồng Phong (huyện Bình Gia) và xã Minh Khai,Xã
1543,Lạng Sơn,Hoa Thám,xã Hưng Đạo và xã Hoa Thám,Xã
1544,Lạng Sơn,Quý Hòa,xã Vĩnh Yên và xã Quý Hòa,Xã
1545,Lạng Sơn,Thiện Hòa,xã Yên Lỗ và xã Thiện Hòa,Xã
1546,Lạng Sơn,Thiện Thuật,xã Quang Trung và xã Thiện Thuật,Xã
1547,Lạng Sơn,Thiện Long,"các xã Hòa Bình (huyện Bình Gia), Tân Hòa và Thiện Long",Xã
1548,Lạng Sơn,Bắc Sơn,"thị trấn Bắc Sơn, xã Long Đống và xã Bắc Quỳnh",Xã
1549,Lạng Sơn,Hưng Vũ,xã Trấn Yên và xã Hưng Vũ,Xã
1550,Lạng Sơn,Vũ Lăng,"các xã Tân Lập, Tân Hương, Chiêu Vũ và Vũ Lăng",Xã
1551,Lạng Sơn,Nhất Hòa,"các xã Tân Thành (huyện Bắc Sơn), Nhất Tiến và Nhất Hòa",Xã
1552,Lạng Sơn,Vũ Lễ,"các xã Chiến Thắng (huyện Bắc Sơn), Vũ Sơn và Vũ Lễ",Xã
1553,Lạng Sơn,Tân Tri,"các xã Đồng Ý, Vạn Thủy và Tân Tri",Xã
1554,Lạng Sơn,Văn Quan,"xã Hòa Bình (huyện Văn Quan), xã Tú Xuyên và thị trấnVăn Quan",Xã
1555,Lạng Sơn,Điềm He,"các xã Trấn Ninh, Liên Hội và Điềm He",Xã
1556,Lạng Sơn,Yên Phúc,"các xã An Sơn, Bình Phúc và Yên Phúc",Xã
1557,Lạng Sơn,Tri Lễ,"các xã Lương Năng, Hữu Lễ và Tri Lễ",Xã
1558,Lạng Sơn,Tân Đoàn,"các xã Tân Thành (huyện Cao Lộc), Tràng Phái và Tân Đoàn",Xã
1559,Lạng Sơn,Khánh Khê,"các xã Xuân Long, Bình Trung và Khánh Khê",Xã
1560,Lạng Sơn,Na Sầm,"thị trấn Na Sầm, xã Hoàng Việt và xã Bắc Hùng",Xã
1561,Lạng Sơn,Hoàng Văn Thụ,,Xã
1562,Lạng Sơn,Văn Lãng,"các xã Bắc Việt, Bắc La, Tân Tác và Thành Hòa",Xã
1563,Lạng Sơn,Hội Hoan,xã Gia Miễn và xã Hội Hoan,Xã
1564,Lạng Sơn,Lộc Bình,"thị trấn Lộc Bình và các xã Khánh Xuân, Đồng Bục, Hữu Khánh",Xã
1565,Lạng Sơn,Na Dương,"thị trấn Na Dương, xã Đông Quan và xã Tú Đoạn",Xã
1566,Lạng Sơn,Lợi Bác,xã Sàn Viên và xã Lợi Bác,Xã
1567,Lạng Sơn,Thống Nhất,"các xã Minh Hiệp, Hữu Lân và Thống Nhất",Xã
1568,Lạng Sơn,Khuất Xá,xã Tam Gia và xã Khuất Xá,Xã
1569,Lạng Sơn,Đình Lập,"thị trấn Đình Lập, xã Đình Lập và một phần diện tích tự nhiên, quy mô dân số của xã Bính Xá",Xã
1570,Lạng Sơn,Châu Sơn,"các xã Bắc Lãng, Đồng Thắng, Cường Lợi, Châu Sơn và một phần diện tích tự nhiên, quy mô dân số của xã Kiên Mộc",Xã
1571,Lạng Sơn,Kiên Mộc,"xã Bắc Xa,phần còn lại của xã Bính Xá sau khi sắp xếp theo quy định tại khoản 40 Điều này và phần còn lại của xã Kiên Mộc sau khi sắp xếp theo quy định tại khoản 42 Điều này",Xã
1572,Lạng Sơn,Hữu Lũng,"thị trấn Hữu Lũng, xã Đồng Tân và xã Hồ Sơn",Xã
1573,Lạng Sơn,Tuấn Sơn,"các xã Minh Sơn, Minh Hòa và Hòa Thắng",Xã
1574,Lạng Sơn,Tân Thành,"các xã Tân Thành (huyện Hữu Lũng), Hòa Lạc và Hòa Sơn",Xã
1575,Lạng Sơn,Vân Nham,"các xã Minh Tiến, Nhật Tiến và Vân Nham",Xã
1576,Lạng Sơn,Thiện Tân,"các xã Thanh Sơn, Đồng Tiến và Thiện Tân",Xã
1577,Lạng Sơn,Yên Bình,"các xã Hòa Bình (huyện Hữu Lũng), Quyết Thắng và Yên Bình",Xã
1578,Lạng Sơn,Hữu Liên,xã Yên Thịnh và xã Hữu Liên,Xã
1579,Lạng Sơn,Cai Kinh,"các xã Yên Vượng, Yên Sơn và Cai Kinh",Xã
1580,Lạng Sơn,Chi Lăng,"xã Chi Lăng (huyện Chi Lăng), thị trấn Chi Lăng và thị trấn Đồng Mỏ",Xã
1581,Lạng Sơn,Quan Sơn,xã Hữu Kiên và xã Quan Sơn,Xã
1582,Lạng Sơn,Chiến Thắng,"các xã Chiến Thắng (huyện Chi Lăng), Vân An, Liên Sơn và Vân Thủy",Xã
1583,Lạng Sơn,Nhân Lý,"các xã Mai Sao, Bắc Thủy, Lâm Sơn và Nhân Lý",Xã
1584,Lạng Sơn,Bằng Mạc,"các xã Gia Lộc, Bằng Hữu, Thượng Cường và Bằng Mạc",Xã
1585,Lạng Sơn,Vạn Linh,"các xã Hòa Bình (huyện Chi Lăng), Y Tịch và Vạn Linh",Xã
1586,Lạng Sơn,Đồng Đăng,"thị trấn Đồng Đăng và các xã Thụy Hùng (huyện Cao Lộc), Phú Xá, Hồng Phong, Bảo Lâm",Xã
1587,Lạng Sơn,Cao Lộc,"các xã Lộc Yên, Thanh Lòa và Thạch Đạn",Xã
1588,Lạng Sơn,Công Sơn,"các xã Hòa Cư, Hải Yến và Công Sơn",Xã
1589,Lạng Sơn,Ba Sơn,"các xã Mẫu Sơn (huyện Cao Lộc), Cao Lâu và Xuất Lễ",Xã
1590,Lạng Sơn,Tam Thanh,phường Tam Thanh và xã Hoàng Đồng,Phường
1591,Lạng Sơn,Lương Văn Tri,phường Chi Lăng và xã Quảng Lạc,Phường
1592,Lạng Sơn,Kỳ Lừa,"phường Hoàng Văn Thụ, thị trấn Cao Lộc và các xã Hợp Thành, Tân Liên, Gia Cát",Phường
1593,Lạng Sơn,Đông Kinh,"phường Vĩnh Trại, phường Đông Kinh, xã Yên Trạch và xã Mai Pha",Phường
1594,Lào Cai,Khao Mang,xã Hồ Bốn và xã Khao Mang,Xã
1595,Lào Cai,Mù Cang Chải,"thị trấn Mù Cang Chải và các xã Kim Nọi, Mồ Dề, Chế Cu Nha",Xã
1596,Lào Cai,Púng Luông,"các xã Nậm Khắt, La Pán Tẩn, Dế Xu Phình và Púng Luông",Xã
1597,Lào Cai,Tú Lệ,xã Cao Phạ và xã Tú Lệ,Xã
1598,Lào Cai,Trạm Tấu,"các xã Pá Lau, Pá Hu, Túc Đán và Trạm Tấu",Xã
1599,Lào Cai,Hạnh Phúc,"thị trấn Trạm Tấu và các xã Bản Công, Hát Lừu, Xà Hồ",Xã
1600,Lào Cai,Phình Hồ,"các xã Làng Nhì, Bản Mù và Phình Hồ",Xã
1601,Lào Cai,Liên Sơn,"thị trấn Nông trường Liên Sơn, xã Sơn A và xã Nghĩa Phúc",Xã
1602,Lào Cai,Gia Hội,"các xã Nậm Búng, Nậm Lành và Gia Hội",Xã
1603,Lào Cai,Sơn Lương,"các xã Nậm Mười, Sùng Đô, Suối Quyền và Sơn Lương",Xã
1604,Lào Cai,Văn Chấn,"thị trấn Sơn Thịnh và các xã Đồng Khê, Suối Bu, Suối Giàng",Xã
1605,Lào Cai,Thượng Bằng La,thị trấn Nông trường Trần Phú và xã Thượng Bằng La,Xã
1606,Lào Cai,Chấn Thịnh,"các xã Tân Thịnh (huyện Văn Chấn), Đại Lịch và Chấn Thịnh",Xã
1607,Lào Cai,Nghĩa Tâm,"các xã Bình Thuận, Minh An và Nghĩa Tâm",Xã
1608,Lào Cai,Phong Dụ Hạ,xã Xuân Tầm và xã Phong Dụ Hạ,Xã
1609,Lào Cai,Châu Quế,xã Châu Quế Thượng và xã Châu Quế Hạ,Xã
1610,Lào Cai,Lâm Giang,xã Lang Thíp và xã Lâm Giang,Xã
1611,Lào Cai,Đông Cuông,"các xã Quang Minh, An Bình, Đông An và Đông Cuông",Xã
1612,Lào Cai,Tân Hợp,"các xã Đại Sơn, Nà Hẩu và Tân Hợp",Xã
1613,Lào Cai,Mậu A,"thị trấn Mậu A và các xã Yên Thái, An Thịnh, Mậu Đông, Ngòi A",Xã
1614,Lào Cai,Xuân Ái,"các xã Đại Phác, Yên Phú, Yên Hợp, Viễn Sơn và Xuân Ái",Xã
1615,Lào Cai,Mỏ Vàng,xã An Lương và xã Mỏ Vàng,Xã
1616,Lào Cai,Lâm Thượng,"các xã Mai Sơn, Khánh Thiện, Tân Phượng và Lâm Thượng",Xã
1617,Lào Cai,Lục Yên,"thị trấn Yên Thế và các xã Minh Xuân, Yên Thắng, Liễu Đô",Xã
1618,Lào Cai,Tân Lĩnh,"các xã Minh Chuẩn, Tân Lập, Phan Thanh, Khai Trung và Tân Lĩnh",Xã
1619,Lào Cai,Khánh Hòa,"các xã Tô Mậu, An Lạc, Động Quan và Khánh Hòa",Xã
1620,Lào Cai,Phúc Lợi,"các xã Trúc Lâu, Trung Tâm và Phúc Lợi",Xã
1621,Lào Cai,Mường Lai,"các xã An Phú, Vĩnh Lạc, Minh Tiến và Mường Lai",Xã
1622,Lào Cai,Cảm Nhân,"các xã Xuân Long, Ngọc Chấn và Cảm Nhân",Xã
1623,Lào Cai,Yên Thành,"các xã Phúc Ninh, Mỹ Gia, Xuân Lai, Phúc An và Yên Thành",Xã
1624,Lào Cai,Thác Bà,"thị trấn Thác Bà và các xã Vũ Linh, Bạch Hà, Hán Đà, Vĩnh Kiên, Đại Minh",Xã
1625,Lào Cai,Yên Bình,"thị trấn Yên Bình và các xã Tân Hương, Thịnh Hưng, Đại Đồng",Xã
1626,Lào Cai,Bảo Ái,"các xã Cảm Ân, Mông Sơn, Tân Nguyên và Bảo Ái",Xã
1627,Lào Cai,Trấn Yên,"thị trấn Cổ Phúc và các xã Báo Đáp, Tân Đồng, Thành Thịnh, Hòa Cuông, Minh Quán",Xã
1628,Lào Cai,Hưng Khánh,xã Hồng Ca và xã Hưng Khánh,Xã
1629,Lào Cai,Lương Thịnh,xã Hưng Thịnh và xã Lương Thịnh,Xã
1630,Lào Cai,Việt Hồng,"các xã Việt Cường, Vân Hội và Việt Hồng",Xã
1631,Lào Cai,Quy Mông,"các xã Kiên Thành, Y Can và Quy Mông",Xã
1632,Lào Cai,Cốc San,"các xã Đồng Tuyển, Tòng Sành và Cốc San",Xã
1633,Lào Cai,Hợp Thành,xã Tả Phời và xã Hợp Thành,Xã
1634,Lào Cai,Phong Hải,thị trấn Nông trường Phong Hải và xã Bản Cầm,Xã
1635,Lào Cai,Xuân Quang,"các xã Phong Niên, Trì Quang và Xuân Quang",Xã
1636,Lào Cai,Bảo Thắng,"thị trấn Phố Lu và các xã Sơn Hà, Sơn Hải, Thái Niên",Xã
1637,Lào Cai,Tằng Loỏng,thị trấn Tằng Loỏng và xã Phú Nhuận,Xã
1638,Lào Cai,Gia Phú,"các xã Xuân Giao, Thống Nhất và Gia Phú",Xã
1639,Lào Cai,Mường Hum,"các xã Nậm Pung, Trung Lèng Hồ và Mường Hum",Xã
1640,Lào Cai,Dền Sáng,"các xã Dền Thàng, Sàng Ma Sáo và Dền Sáng",Xã
1641,Lào Cai,Y Tý,xã A Lù và xã Y Tý,Xã
1642,Lào Cai,A Mú Sung,xã Nậm Chạc và xã A Mú Sung,Xã
1643,Lào Cai,Trịnh Tường,xã Cốc Mỳ và xã Trịnh Tường,Xã
1644,Lào Cai,Bản Xèo,"các xã Pa Cheo, Mường Vi và Bản Xèo",Xã
1645,Lào Cai,Bát Xát,"thị trấn Bát Xát và các xã Bản Vược, Bản Qua, Phìn Ngan, Quang Kim",Xã
1646,Lào Cai,Võ Lao,"các xã Nậm Mả, Nậm Dạng và Võ Lao",Xã
1647,Lào Cai,Khánh Yên,"các xã Khánh Yên Trung, Liêm Phú và Khánh Yên Hạ",Xã
1648,Lào Cai,Văn Bàn,"thị trấn Khánh Yên và các xã Khánh Yên Thượng, Sơn Thuỷ, Làng Giàng, Hòa Mạc",Xã
1649,Lào Cai,Dương Quỳ,xã Thẳm Dương và xã Dương Quỳ,Xã
1650,Lào Cai,Chiềng Ken,xã Nậm Tha và xã Chiềng Ken,Xã
1651,Lào Cai,Minh Lương,xã Nậm Xây và xã Minh Lương,Xã
1652,Lào Cai,Nậm Chày,xã Dần Thàng và xã Nậm Chày,Xã
1653,Lào Cai,Bảo Yên,"thị trấn Phố Ràng và các xã Yên Sơn, Lương Sơn, Xuân Thượng",Xã
1654,Lào Cai,Nghĩa Đô,"các xã Tân Tiến, Vĩnh Yên và Nghĩa Đô",Xã
1655,Lào Cai,Thượng Hà,"các xã Điện Quan, Minh Tân và Thượng Hà",Xã
1656,Lào Cai,Xuân Hòa,xã Tân Dương và xã Xuân Hòa,Xã
1657,Lào Cai,Phúc Khánh,xã Việt Tiến và xã Phúc Khánh,Xã
1658,Lào Cai,Bảo Hà,"các xã Kim Sơn, Cam Cọn, Tân An, Tân Thượng và Bảo Hà",Xã
1659,Lào Cai,Mường Bo,xã Liên Minh và xã Mường Bo,Xã
1660,Lào Cai,Bản Hồ,xã Thanh Bình (thị xã Sa Pa) và xã Bản Hồ,Xã
1661,Lào Cai,Tả Van,"các xã Hoàng Liên, Mường Hoa và Tả Van",Xã
1662,Lào Cai,Tả Phìn,xã Trung Chải và xã Tả Phìn,Xã
1663,Lào Cai,Cốc Lầu,"các xã Nậm Lúc, Bản Cái và Cốc Lầu",Xã
1664,Lào Cai,Bảo Nhai,"các xã Nậm Đét, Cốc Ly và Bảo Nhai",Xã
1665,Lào Cai,Bản Liền,xã Nậm Khánh và xã Bản Liền,Xã
1666,Lào Cai,Bắc Hà,"thị trấn Bắc Hà và các xã Na Hối, Thải Giàng Phố, Bản Phố, Hoàng Thu Phố, Nậm Mòn",Xã
1667,Lào Cai,Tả Củ Tỷ,xã Lùng Cải và xã Tả Củ Tỷ,Xã
1668,Lào Cai,Lùng Phình,"các xã Tả Van Chư, Lùng Phình và Lùng Thẩn",Xã
1669,Lào Cai,Pha Long,"các xã Tả Ngài Chồ, Dìn Chin, Tả Gia Khâu và Pha Long",Xã
1670,Lào Cai,Mường Khương,"thị trấn Mường Khương và các xã Thanh Bình (huyện Mường Khương), Nậm Chảy, Tung Chung Phố, Nấm Lư",Xã
1671,Lào Cai,Bản Lầu,"các xã Bản Sen, Lùng Vai và Bản Lầu",Xã
1672,Lào Cai,Cao Sơn,"các xã Lùng Khấu Nhin, Tả Thàng, La Pan Tẩn và Cao Sơn",Xã
1673,Lào Cai,Si Ma Cai,"thị trấn Si Ma Cai và các xã Sán Chải, Nàn Sán, Cán Cấu, Quan Hồ Thẩn",Xã
1674,Lào Cai,Sín Chéng,"các xã Bản Mế, Thào Chư Phìn, Nàn Sín và Sín Chéng",Xã
1675,Lào Cai,Nghĩa Lộ,"phường Tân An, phường Pú Trạng, xã Nghĩa An và xã Nghĩa Sơn",Phường
1676,Lào Cai,Trung Tâm,"phường Trung Tâm và các xã Phù Nham, Nghĩa Lợi, Nghĩa Lộ",Phường
1677,Lào Cai,Cầu Thia,"phường Cầu Thia và các xã Thanh Lương, Thạch Lương, Phúc Sơn, Hạnh Sơn",Phường
1678,Lào Cai,Văn Phú,"phường Yên Thịnh và các xã Tân Thịnh (thành phố Yên Bái), Văn Phú, Phú Thịnh",Phường
1679,Lào Cai,Yên Bái,"các phường Đồng Tâm, Yên Ninh, Minh Tân, Nguyễn Thái Học và Hồng Hà",Phường
1680,Lào Cai,Nam Cường,"phường Nam Cường (thành phố Yên Bái) và các xã Minh Bảo, Tuy Lộc, Cường Thịnh",Phường
1681,Lào Cai,Âu Lâu,"phường Hợp Minh và các xã Giới Phiên, Minh Quân, Âu Lâu",Phường
1682,Lào Cai,Cam Đường,"các phường Nam Cường (thành phố Lào Cai), Xuân Tăng, Pom Hán, Bắc Cường, Bắc Lệnh, Bình Minh và xã Cam Đường",Phường
1683,Lào Cai,Lào Cai,"các phường Duyên Hải, Cốc Lếu, Kim Tân, Lào Cai, xã Vạn Hòa và xã Bản Phiệt",Phường
1684,Lào Cai,Sa Pa,"các phường Hàm Rồng, Ô Quý Hồ, Sa Pả, Cầu Mây, Phan Si Păng và Sa Pa",Phường
1685,Nghệ An,Anh Sơn,"thị trấn Kim Nhan, xã Đức Sơn và xã Phúc Sơn",Xã
1686,Nghệ An,Yên Xuân,"các xã Cao Sơn, Khai Sơn, Lĩnh Sơn và Long Sơn",Xã
1687,Nghệ An,Nhân Hòa,"các xã Cẩm Sơn, Hùng Sơn và xã Tam Đỉnh",Xã
1688,Nghệ An,Anh Sơn Đông,"các xã Lạng Sơn, Tào Sơn và Vĩnh Sơn",Xã
1689,Nghệ An,Vĩnh Tường,"các xã Hoa Sơn, Hội Sơn và Tường Sơn",Xã
1690,Nghệ An,Thành Bình Thọ,"các xã Bình Sơn (huyện Anh Sơn), Thành Sơn và Thọ Sơn",Xã
1691,Nghệ An,Con Cuông,"thị trấn Trà Lân, xã Chi Khê và xã Yên Khê",Xã
1692,Nghệ An,Môn Sơn,xã Lục Dạ và xã Môn Sơn,Xã
1693,Nghệ An,Mậu Thạch,xã Mậu Đức và xã Thạch Ngàn,Xã
1694,Nghệ An,Cam Phục,xã Cam Lâm và xã Đôn Phục,Xã
1695,Nghệ An,Châu Khê,xã Lạng Khê và xã Châu Khê,Xã
1696,Nghệ An,Diễn Châu,"thị trấn Diễn Thành và các xã Diễn Hoa, Diễn Phúc, Ngọc Bích",Xã
1697,Nghệ An,Đức Châu,"các xã Diễn Hồng, Diễn Kỷ, Diễn Phong và Diễn Vạn",Xã
1698,Nghệ An,Quảng Châu,"các xã Diễn Đồng, Diễn Liên, Diễn Thái và Xuân Tháp",Xã
1699,Nghệ An,Hải Châu,"các xã Diễn Hoàng, Diễn Kim, Diễn Mỹ và Hùng Hải",Xã
1700,Nghệ An,Tân Châu,"các xã Diễn Lộc, Diễn Lợi, Diễn Phú và Diễn Thọ",Xã
1701,Nghệ An,An Châu,"các xã Diễn An, Diễn Tân, Diễn Thịnh và Diễn Trung",Xã
1702,Nghệ An,Minh Châu,"các xã Diễn Cát, Diễn Nguyên, Hạnh Quảng và Minh Châu",Xã
1703,Nghệ An,Hùng Châu,"các xã Diễn Đoài, Diễn Lâm, Diễn Trường và Diễn Yên",Xã
1704,Nghệ An,Đô Lương,"xã Bắc Sơn và xã Nam Sơn (huyện Đô Lương), các xã Đà Sơn, Đặng Sơn, Lưu Sơn, Thịnh Sơn, Văn Sơn, Yên Sơn, thị trấn Đô Lương",Xã
1705,Nghệ An,Bạch Ngọc,"các xã Bồi Sơn, Giang Sơn Đông, Giang Sơn Tây và Bạch Ngọc",Xã
1706,Nghệ An,Văn Hiến,"các xã Tân Sơn (huyện Đô Lương), Hòa Sơn, Quang Sơn, Thái Sơn và Thượng Sơn",Xã
1707,Nghệ An,Bạch Hà,"các xã Đại Sơn, Hiến Sơn, Mỹ Sơn và Trù Sơn",Xã
1708,Nghệ An,Thuần Trung,"các xã Minh Sơn (huyện Đô Lương), Lạc Sơn, Nhân Sơn, Thuận Sơn, Trung Sơn và Xuân Sơn",Xã
1709,Nghệ An,Lương Sơn,"các xã Bài Sơn, Đông Sơn, Hồng Sơn và Tràng Sơn",Xã
1710,Nghệ An,Hưng Nguyên,"thị trấn Hưng Nguyên và các xã Hưng Đạo, Hưng Tây, Thịnh Mỹ",Xã
1711,Nghệ An,Yên Trung,"các xã Hưng Yên Bắc, Hưng Yên Nam và Hưng Trung",Xã
1712,Nghệ An,Hưng Nguyên Nam,"các xã Hưng Lĩnh, Long Xá, Thông Tân và Xuân Lam",Xã
1713,Nghệ An,Lam Thành,"các xã Châu Nhân, Hưng Nghĩa, Hưng Thành và Phúc Lợi",Xã
1714,Nghệ An,Chiêu Lưu,xã Bảo Thắng và xã Chiêu Lưu,Xã
1715,Nghệ An,Hữu Kiệm,"các xã Bảo Nam, Hữu Lập và Hữu Kiệm",Xã
1716,Nghệ An,Mường Típ,xã Mường Ải và xã Mường Típ,Xã
1717,Nghệ An,Mường Xén,"thị trấn Mường Xén, xã Tà Cạ và xã Tây Sơn",Xã
1718,Nghệ An,Na Loi,xã Đoọc Mạy và xã Na Loi,Xã
1719,Nghệ An,Na Ngoi,xã Nậm Càn và xã Na Ngoi,Xã
1720,Nghệ An,Nậm Cắn,xã Phà Đánh và xã Nậm Cắn,Xã
1721,Nghệ An,Kim Liên,"các xã Hùng Tiến, Nam Cát, Nam Giang, Xuân Hồng và Kim Liên",Xã
1722,Nghệ An,Vạn An,"thị trấn Nam Đàn, xã Thượng Tân Lộc và xã Xuân Hòa",Xã
1723,Nghệ An,Nam Đàn,"các xã Nghĩa Thái (huyện Nam Đàn), Nam Hưng và Nam Thanh",Xã
1724,Nghệ An,Đại Huệ,"các xã Nam Anh, Nam Lĩnh và Nam Xuân",Xã
1725,Nghệ An,Thiên Nhẫn,"các xã Khánh Sơn, Nam Kim và Trung Phúc Cường",Xã
1726,Nghệ An,Nghĩa Đàn,"thị trấn Nghĩa Đàn, xã Nghĩa Bình và xã Nghĩa Trung",Xã
1727,Nghệ An,Nghĩa Thọ,"các xã Nghĩa Hội, Nghĩa Lợi và Nghĩa Thọ",Xã
1728,Nghệ An,Nghĩa Lâm,"các xã Nghĩa Lạc, Nghĩa Sơn, Nghĩa Yên và Nghĩa Lâm",Xã
1729,Nghệ An,Nghĩa Mai,"các xã Nghĩa Hồng, Nghĩa Minh và Nghĩa Mai",Xã
1730,Nghệ An,Nghĩa Hưng,xã Nghĩa Thành và xã Nghĩa Hưng,Xã
1731,Nghệ An,Nghĩa Khánh,"các xã Nghĩa An, Nghĩa Đức và Nghĩa Khánh",Xã
1732,Nghệ An,Nghĩa Lộc,xã Nghĩa Long và xã Nghĩa Lộc,Xã
1733,Nghệ An,Nghi Lộc,"thị trấn Quán Hành và các xã Diên Hoa, Nghi Trung, Nghi Vạn",Xã
1734,Nghệ An,Phúc Lộc,"các xã Nghi Công Bắc, Nghi Công Nam, Nghi Lâm và Nghi Mỹ",Xã
1735,Nghệ An,Đông Lộc,"các xã Khánh Hợp, Nghi Thạch và Thịnh Trường",Xã
1736,Nghệ An,Trung Lộc,"các xã Nghi Long, Nghi Quang, Nghi Thuận và Nghi Xá",Xã
1737,Nghệ An,Thần Lĩnh,"các xã Nghi Đồng, Nghi Hưng và Nghi Phương",Xã
1738,Nghệ An,Hải Lộc,"các xã Nghi Thiết, Nghi Tiến và Nghi Yên",Xã
1739,Nghệ An,Văn Kiều,xã Nghi Kiều và xã Nghi Văn,Xã
1740,Nghệ An,Mường Quàng,"các xã Cắm Muộn, Châu Thôn và Quang Phong",Xã
1741,Nghệ An,Quế Phong,"thị trấn Kim Sơn và các xã Châu Kim, Mường Nọc, Nậm Giải",Xã
1742,Nghệ An,Thông Thụ,xã Đồng Văn (huyện Quế Phong) và xã Thông Thụ,Xã
1743,Nghệ An,Tiền Phong,xã Hạnh Dịch và xã Tiền Phong,Xã
1744,Nghệ An,Tri Lễ,xã Nậm Nhoóng và xã Tri Lễ,Xã
1745,Nghệ An,Quỳ Châu,"thị trấn Tân Lạc và các xã Châu Hạnh, Châu Hội, Châu Nga",Xã
1746,Nghệ An,Châu Tiến,"các xã Châu Tiến (huyện Quỳ Châu), Châu Bính, Châu Thắng và Châu Thuận",Xã
1747,Nghệ An,Hùng Chân,"các xã Châu Hoàn, Châu Phong và Diên Lãm",Xã
1748,Nghệ An,Quỳ Hợp,"thị trấn Quỳ Hợp và các xã Châu Đình, Châu Quang, Thọ Hợp",Xã
1749,Nghệ An,Tam Hợp,"các xã Tam Hợp (huyện Quỳ Hợp), Đồng Hợp, Nghĩa Xuân và Yên Hợp",Xã
1750,Nghệ An,Châu Lộc,xã Liên Hợp và xã Châu Lộc,Xã
1751,Nghệ An,Châu Hồng,"các xã Châu Tiến (huyện Quỳ Hợp), Châu Thành và Châu Hồng",Xã
1752,Nghệ An,Mường Ham,xã Châu Cường và xã Châu Thái,Xã
1753,Nghệ An,Mường Chọng,"xã Bắc Sơn và xã Nam Sơn (huyện Quỳ Hợp), xã Châu Lý",Xã
1754,Nghệ An,Minh Hợp,"các xã Hạ Sơn, Văn Lợi và Minh Hợp",Xã
1755,Nghệ An,Quỳnh Lưu,"thị trấn Cầu Giát và các xã Bình Sơn (huyện Quỳnh Lưu), Quỳnh Diễn, Quỳnh Giang, Quỳnh Hậu",Xã
1756,Nghệ An,Quỳnh Văn,"các xã Quỳnh Tân, Quỳnh Thạch và Quỳnh Văn",Xã
1757,Nghệ An,Quỳnh Anh,"các xã Minh Lương, Quỳnh Bảng, Quỳnh Đôi, Quỳnh Thanh và Quỳnh Yên",Xã
1758,Nghệ An,Quỳnh Tam,"các xã Tân Sơn (huyện Quỳnh Lưu), Quỳnh Châu và Quỳnh Tam",Xã
1759,Nghệ An,Quỳnh Phú,"các xã An Hòa, Phú Nghĩa, Thuận Long và Văn Hải",Xã
1760,Nghệ An,Quỳnh Sơn,"các xã Ngọc Sơn (huyện Quỳnh Lưu), Quỳnh Lâm và Quỳnh Sơn",Xã
1761,Nghệ An,Quỳnh Thắng,xã Tân Thắng và xã Quỳnh Thắng,Xã
1762,Nghệ An,Tân Kỳ,"thị trấn Tân Kỳ và các xã Nghĩa Dũng, Kỳ Tân, Kỳ Sơn",Xã
1763,Nghệ An,Tân Phú,"các xã Nghĩa Thái (huyện Tân Kỳ), Hoàn Long, Tân Xuân và Tân Phú",Xã
1764,Nghệ An,Tân An,"các xã Hương Sơn, Nghĩa Phúc và Tân An",Xã
1765,Nghệ An,Nghĩa Đồng,xã Bình Hợp và xã Nghĩa Đồng,Xã
1766,Nghệ An,Giai Xuân,xã Tân Hợp và xã Giai Xuân,Xã
1767,Nghệ An,Nghĩa Hành,"các xã Phú Sơn, Tân Hương và Nghĩa Hành",Xã
1768,Nghệ An,Tiên Đồng,xã Đồng Văn (huyện Tân Kỳ) và xã Tiên Kỳ,Xã
1769,Nghệ An,Đông Hiếu,"các xã Nghĩa Mỹ, Nghĩa Thuận và Đông Hiếu",Xã
1770,Nghệ An,Bích Hào,"các xã Mai Giang, Thanh Lâm, Thanh Tùng và Thanh Xuân",Xã
1771,Nghệ An,Cát Ngạn,"các xã Minh Sơn (huyện Thanh Chương), Cát Văn và Phong Thịnh",Xã
1772,Nghệ An,Đại Đồng,"thị trấn Dùng và các xã Đồng Văn (huyện Thanh Chương), Thanh Ngọc, Thanh Phong, Đại Đồng",Xã
1773,Nghệ An,Hạnh Lâm,xã Thanh Đức và xã Hạnh Lâm,Xã
1774,Nghệ An,Hoa Quân,"các xã Thanh An, Thanh Hương, Thanh Quả và Thanh Thịnh",Xã
1775,Nghệ An,Kim Bảng,"các xã Thanh Hà, Thanh Thủy và Kim Bảng",Xã
1776,Nghệ An,Sơn Lâm,xã Ngọc Lâm và xã Thanh Sơn,Xã
1777,Nghệ An,Tam Đồng,"các xã Thanh Liên, Thanh Mỹ và Thanh Tiên",Xã
1778,Nghệ An,Xuân Lâm,"các xã Ngọc Sơn (huyện Thanh Chương), Minh Tiến và Xuân Dương",Xã
1779,Nghệ An,Nga My,xã Xiêng My và xã Nga My,Xã
1780,Nghệ An,Nhôn Mai,xã Mai Sơn và xã Nhôn Mai,Xã
